Taxon,ID,Voucher,Plot,Location,,Lat. ,,Lon.,Ele.,Collector(s),Source
R. melanophthalma,588f,BRY C55066,BM-3,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.1626,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,589f,BRY C55067,BM-3,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.1626,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,590f,BRY C55068,BM-3,"USA, UT, Wayne Co.:  Boulder Mountain (BM-3)",38.1626,,-111.5351,,3360 m,"SDL, HCL, JHL, PAR",this study
R. melanophthalma,652f,BRY C55069,TLM-9,"USA, Utah, Wayne Co.: Thousand Lake Mountain (9)",38.4366,,-111.4677,,3270 m,LDP,this study
R. melanophthalma,653f,BRY C55070,TLM-9,"USA, Utah, Wayne Co.: Thousand Lake Mountain (9)",38.4366,,-111.4677,,3270 m,LDP,this study
R. melanophthalma,654f,BRY C55071,TLM-9,"USA, Utah, Wayne Co.: Thousand Lake Mountain (9)",38.4366,,-111.4677,,3270 m,LDP,this study
R. melanophthalma,655f,BRY C55072,TLM-9,"USA, Utah, Wayne Co.: Thousand Lake Mountain (9)",38.4366,,-111.4677,,3270 m,LDP,this study
R. melanophthalma,656f,BRY C55073,TLM-9,"USA, Utah, Wayne Co.: Thousand Lake Mountain (9)",38.4366,,-111.4677,,3270 m,LDP,this study
R. melanophthalma,695f,BRY C55074,-,"USA, Utah, Juab Co.: West of Goshen ",39.9697,,-112.0601,,1840 m,EA 18-140,this study
R. melanophthalma,706f,BRY C55075,-,"USA, ID, Butte Co.: Salmon Challis National Forest",43.7197,,-113.0891,,2432 m,EA 37-356,this study
R. melanophthalma,714f,BRY C55076,-,"USA, NV, White Pine Co.:  Humboldt-Toiyabe N.F.",39.1734,,-114.613,,3166 m,"SDL, LLS",this study
R. melanophthalma,550f,BRY C55077,TLM-6,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (6)",38.5111,,-111.4732,,2875 m,LDP,this study
R. melanophthalma,551f,BRY C55078,TLM-5,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (5)",38.5076,,-111.4904,,2725 m ,LDP,this study
R. melanophthalma,552f,BRY C55079,TLM-5,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (5)",38.5076,,-111.4904,,2725 m ,LDP,this study
R. melanophthalma,626f,BRY C55080,TLM-3,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (3)",38.5079,,-111.5505,,2400 m,LDP,this study
R. melanophthalma,632f,BRY C55081,TLM-5,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (5)",38.5076,,-111.4904,,2725 m ,LDP,this study
R. melanophthalma,633f,BRY C55082,TLM-5,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (5)",38.5076,,-111.4904,,2725 m ,LDP,this study
R. melanophthalma,634f,BRY C55083,TLM-5,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (5)",38.5076,,-111.4904,,2725 m ,LDP,this study
R. melanophthalma,635f,BRY C55084,TLM-5,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (5)",38.5076,,-111.4904,,2725 m ,LDP,this study
R. melanophthalma,636f,BRY C55085,TLM-5,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (5)",38.5076,,-111.4904,,2725 m ,LDP,this study
R. melanophthalma,649f,BRY C55086,TLM-8,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (8)",38.4557,,-111.4581,,3175 m,LDP,this study
R. melanophthalma,657f,BRY C55087,TLM-10,"USA, Utah, Wayne Co.:  Thousand Lake Mountain (10)",38.4432,,-111.4703,,3400 m,LDP,this study
R. melanophthalma,664f,BRY C55088,-,"USA, NM, San Juan Co.: vicinity of Aztec Ruins National Monument",36.8348,,-108.0002,,1721 m,"SDL, HCL",this study
R. melanophthalma,698f,BRY C55089,-,"MT, Deer Lodge Co.:  southwest of Anaconda Copper Smelter ",46.0565,,-112.982,,1890 m,EA 21-166,this study
R. melanophthalma,718f,BRY C55090,-,"MT, Sanders Co.:  Cabinet Mountains",48.0607,,-115.6894,,1939 m ,"SDL, LLS, GS",this study
R. melanophthalma,-,EF095278,-,"China, Xianjiang ProvinceTianshan Mountains",-,,-,,-,-,Zheng et al. 2007
R. melanophthalma,-,EF095280,-,"China, Xianjiang ProvinceTianshan Mountains",-,,-,,-,-,Zheng et al. 2007
